paper,fm_a,fm_l,ae,le,afam,afef,amem,lflm,lfef,lmem,afem,lfem
short,-0.422116590053576,-0.3412367613408408,-1.6415823527119626,-1.0803434132864156,-0.9328784455149506,-1.717627804447707,-1.6294602079795133,-0.4282927412303182,-1.1874843345392394,-0.9812908412416556,-1.7389517864009256,-1.286662374245633
successful,-0.541202340881658,-0.375312959423109,-1.6166158386892682,-1.173605241581056,-1.1095086890701384,-1.7762521521028987,-1.54867905122068,-0.4002692921561063,-1.1522890470446991,-1.2287567405474857,-1.7811665069740703,-1.2947713989082774
poor,-0.2798628978201967,-0.3356394794161693,-1.4819412616075471,-1.018145626188379,-0.46085365848077237,-1.5788268123842817,-1.3910045766843377,-0.42753850213116734,-1.031572468249421,-1.0355539856485136,-1.6642785311388437,-1.1673685202929036
rich,-0.4122808069641601,-0.3681056903734787,-1.1841226359104062,-0.8091531208077747,-0.5234277648717847,-1.2446243784575264,-1.1545733746859457,-0.36727418400161177,-0.8200169549087075,-0.8173134085764329,-1.3975146144870991,-1.036495218971587
soft,0.11477880832331329,0.12606638226897196,-1.4404701949201812,-1.0080965734649356,0.13407368364066768,-1.4128682785638342,-1.4491966411238701,0.09966378926864168,-1.0255934279217769,-0.9775921833191409,-1.3139833717358471,-0.8697856746991803
leader,-1.0026370980015011,-1.0882955156767617,-1.0393518600533762,-0.4756854292717707,-1.1935403780456098,-1.4092056834022497,-0.9615951756828937,-1.1094286119268142,-0.7251121217806115,-0.35195158220374473,-1.6218834738898034,-1.2341359623330257
sexy,0.905410195655457,1.1239748376646743,-1.0186666548290422,-0.6770830206472211,0.7819688478160894,-1.2670329875508874,-0.9898375528611842,1.0995340664216973,-0.6520103369501327,-1.0343587724737777,-0.15561028623253775,0.4987007474559084
provider,-0.9383686732593955,-0.3456448344207116,-0.915323869215847,-0.32918084683257215,-1.2167428243075649,-1.466914561152573,-0.5660552431783692,-0.13677746783566141,-0.1384657383678807,-0.6120758401531053,-1.6551722536365892,-0.5684149898434687
dangerous,-0.4723327330983559,-0.42903660498996055,-1.459595864424503,-0.8891032884352612,-1.0154463185672784,-1.7222848384865688,-1.2320383491594977,-0.6370798891873202,-1.0881557867695684,-0.6934530546967852,-1.710863357214646,-1.152366587687323
emotional,0.17788262843087643,0.28133506552736504,-1.70127139939164,-1.2621975647650354,-0.13758227774612844,-1.776697393652644,-1.611389752497837,0.1111674314466964,-1.2189103275928659,-1.3961103566482593,-1.7008182257249504,-0.9448781122846225
attractive,0.2463426123075491,0.5862548519893128,-1.4014221518105547,-0.6520472596481667,-0.048646758770022204,-1.5302142922958526,-1.2573390994759355,0.5004874100324125,-0.6219843044630556,-0.7373657265769722,-1.2524459390706473,-0.06815661498183744
cook,0.7724343837883687,0.5746806010058868,-1.4806574501111633,-0.8672609224693733,0.8300507841989269,-1.6181275400616881,-1.5880284561242959,0.0867779297468934,-1.2030182599254777,-0.49534192126351156,-1.0403207300605881,-0.3276937319192701
tall,-0.13033012325303162,-0.049052792120481435,-1.1591627186773557,-0.9583711648687061,-0.35111488301530025,-1.2976246690678743,-0.9919444076222068,-0.1907661869030384,-1.058539249823782,-0.8347360131353168,-1.182190098320405,-0.9185980898117423
confident,-0.42728612382684666,-0.24171914306924636,-1.5726845083329066,-1.0276721485654414,-0.7516186301961075,-1.6967292009137516,-1.4922390615727106,-0.14693137292119415,-0.927543308666223,-1.1313276453045518,-1.747037268175503,-1.1343333875651171
loud,-0.027107686859978226,-0.0018600457576059902,-1.5518769827639265,-1.2800584103187997,-0.23425163703654012,-1.6002513848767466,-1.4750324430216906,-0.1197307394239183,-1.2676726986136215,-1.2838763612684325,-1.515359844756917,-1.175132882024758
intelligent,-0.5118214279413331,-0.5040197098938688,-1.5808115679198422,-1.2483649656124602,-0.7900736088117735,-1.5986190818593986,-1.649455419221027,-0.4886545716694098,-1.165489725350242,-1.4123341694852032,-1.750026270379678,-1.4694346816764172
violent,-0.6758447532527875,-0.5723970930904807,-1.1694613943681056,-0.7393563505171924,-1.1001005573645113,-1.379974716691194,-1.0669339744820532,-0.7038443927746297,-0.8686844261691067,-0.6464737277176194,-1.5391829839101006,-1.1079791874399665
aggressive,-0.7921559311889138,-0.5749940299607443,-1.2821379374261308,-0.9892732420737215,-1.049506096176239,-1.564911953250216,-1.215961117734707,-0.49308801176759093,-1.0118262145702261,-1.0380016866853718,-1.6678247342827557,-1.323919360760856
dependent,-0.7668966891202741,-0.44375051986890546,-0.7451796144983525,0.029024312179770178,-1.02385112938719,-1.2781677901101218,-0.432967384863126,-0.352039335314029,0.06740360171157497,-0.008428656792045453,-1.3683279636574857,-0.36802396102514684
caring,0.56048254675125,0.8969478610180265,-1.507542601028553,-1.056400798771237,0.32306534874430926,-1.6279055953706068,-1.5261369074090096,0.8358729352637289,-1.122185663834323,-1.2494025738434018,-1.1518101941621712,-0.19059408321586863
lazy,0.036726556288434235,-0.05684231466503865,-1.4723477976335204,-1.0478937932107326,-0.15282247196287996,-1.532946034001124,-1.3833632801544844,-0.3265543856645484,-1.2154757956356093,-0.8413630994165763,-1.5114347699341875,-1.1343493056923015
educated,-0.23414069391514808,0.20998118977580854,-1.385457635424424,-1.0866896492990534,-0.7818329308238783,-1.5107192415311836,-1.2541671898254816,0.28597456014909267,-0.9225670451707905,-1.2889075311943419,-1.5919086425049238,-0.9001818398377776
respected,-0.8654579970092781,-0.6371408700438751,-1.38020234440243,-0.9577563119969456,-1.2230288199459223,-1.5711614047589042,-1.4704955345647168,-0.4378381873023914,-0.804601539026406,-1.2050261850015505,-1.7109665405399523,-1.2869075282986615
athletic,-0.6957099601685048,-0.13352855991279022,-1.056796224880447,-1.1475347397566211,-1.2189981858456491,-1.6858646138048272,-0.5000144959733259,-0.1713210579037697,-1.1854721414297935,-1.0961040427306938,-1.623707272069394,-1.1715400928441497
racist,-0.21658991498717406,-0.23094715723285375,-0.8011998245314034,-0.9825988254545087,-0.3273105029975012,-0.8603558674794896,-0.7353801956964737,-0.38205457981003954,-0.9482634317239269,-1.0555677427973085,-1.0697977972612962,-1.1067417456119204
ignorant,-0.10961158069465703,-0.07767682806096961,-1.2276400262035685,-1.2589493380898984,-0.12545949071858092,-1.1853812671505044,-1.253761218675126,-0.04258128137148469,-1.1230031487637624,-1.4029396615380005,-1.4433126715214215,-1.3368500125061566
jealous,0.6873989008420088,0.8257273217515964,-1.377700104104949,-1.2298011622544025,0.5354425652554999,-1.5683485408741653,-1.342958562129154,0.8438223650278267,-1.2391362810171622,-1.5195646610400166,-0.9846382911551708,-0.4968627759480417
criminals,-0.8742225192210594,-0.9257173708381717,-0.8710437187049237,-0.3759117429029732,-1.0922927318947864,-1.2211905725054393,-0.7536329411442202,-1.028602199719467,-0.5598100816463276,-0.2737417694041989,-1.4629191326018787,-1.0744467944552965
ambitious,-0.6094209123069583,-0.4980306097836942,-1.5320286662961584,-0.993960218632078,-1.0750111953677568,-1.7041015695030433,-1.481682037365652,-0.4347428966597269,-0.934913675087199,-1.1089056442805796,-1.7432312857161114,-1.22545082716367
feminine,1.08249850259925,1.165414535760407,-0.9125258897296072,-0.49053541436357584,1.24877317912577,-1.2903256220336492,-0.9343437663770972,1.2118366869849122,-0.7207475610869747,-0.5122688383730732,0.20228516427129017,0.6662092178733428
messy,0.29177363962866926,0.6827698609445082,-1.3227527145573361,-0.910451900328159,0.00887995663199003,-1.4894821401466283,-1.1423261675000715,0.731236865522317,-0.799488241031225,-1.193467333089436,-1.1486899430475612,-0.22779788669174844
overweight,0.5428951989258304,0.33899633092993614,-0.7023497639632804,-0.8088422872810411,0.44640295812039743,-0.843368352542756,-0.6294089221656753,0.07449326813983397,-0.9537355850111134,-0.6473713549647042,-0.21543056127108962,-0.4899737505510671
blond,0.923227063114809,1.0588023337227377,-0.6840494338782126,-0.7024412433405338,0.7487039766508982,-0.9393504644152999,-0.5983383555152614,1.0296620960675866,-0.7009577440312702,-0.9957787789713224,0.3084497748253349,0.39514018570118353
privileged,0.32815513557007014,-0.11389395792691966,-1.3628854262936603,0.1162242593435322,0.2845526811171055,-1.4688713424055369,-1.2715472581210834,-0.54400999165555,-0.5473346739450018,0.5854762663011722,-1.16997476893149,0.0027900526232572465
rapper,-0.1682505253970428,-0.4141708118812098,0.348126949677832,-0.4527989396542918,-0.09573214163912472,0.4261625673238644,0.2778064118220071,-0.5153348601231514,-0.5425102417255847,-0.36382428447573056,0.19034179357718153,-0.7531288244127237
arrogant,-0.6447650940510457,-0.5908521799396446,-1.1408670320727177,-0.987380347905638,-0.7572196900691515,-1.2386152839053615,-1.1714386545293616,-0.5623451697395054,-0.968891576106321,-1.080832268434878,-1.5454314536575093,-1.3424835200194225
petite,1.1094164105256696,1.2974456182956575,-0.26658638702863663,-0.18508534162181361,0.888481355777504,-0.6061420727244129,-0.06893937828197859,1.2440223129240695,-0.28619518488355306,-0.19472905389010045,0.8806296493209689,1.039695355211266
ghetto,0.48233009874942395,0.7342258710081146,1.0420549877588825,0.9641055146182833,0.20233296286285904,0.8554541222580003,1.2469162990080842,0.6010807628272853,0.7539106322656366,1.2921597034987693,1.3713574109284585,1.3992447952100102
submissive,1.020215115054058,1.0745236497949873,-0.2751574590885372,-0.32110182118767944,0.8136001661189075,-0.4852735847959258,-0.17368818605965214,0.8660167917403971,-0.5831270367559879,-0.15829516810344224,0.827296308344843,0.781779610865659
gangster,-1.0557614315066939,-1.2802088486716068,0.14562454108106576,-0.2273327481354917,-0.8907366487743523,0.5085518157822061,-0.018218643865045018,-1.3813018699891406,-0.2721445170525472,-0.31756880559858713,-0.8855914909639359,-1.1937842855914778
sexist,0.8808365341973948,0.7084179043506084,-0.7150897283337903,-1.1906795877122929,1.264465157799904,-0.42740231927376415,-1.2187581849471512,1.1692908746714206,-0.9750987436269948,-1.6202979765850465,0.24686630993055297,-0.6863862419185733
